Timestamp,A_Bangkok,B_GenZ,C_OnlinePurchase,Gender,Age,Education,Occupation,Income,BuyFrequency,DecisionTime,StoreType,PriceRange,InfoSource,Budget,IV1_1_Accuracy,IV1_2_DetailedReview,IV1_3_BrandComparison,IV1_4_NewProducts,IV1_5_FasterDecision,IV2_1_FunContent,IV2_2_PresentationStyle,IV2_3_MakeupInspiration,IV2_4_CreativeInfluencer,IV3_1_Knowledge,IV3_2_RealisticResults,IV3_3_SponsoredDisclosure,IV4_1_AccurateInfo,IV4_2_HonestReview,IV4_3_ProductDisclosure,IV4_4_ProsAndCons,IV4_5_BeautyImage,IV5_1_PersonalityFit,IV5_2_ReviewSkill,IV5_3_MakeupStyle,IV5_4_Approachable,IV5_5_CredibleImage,IV6_1_SkinType,IV6_2_Lifestyle,IV6_3_CosmeticPreference,IV6_4_PriceLevel,DV1_FutureIntent,DV2_TopChoice,DV3_CredibilityDriven,DV4_ReviewDriven,DV5_Repurchase,Comments
2026/04/21 14:30:45,0,1,1,3,1,1,1,1,3,2,1,2,1,2,3,5,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,3,3,4,4,ต้องดูความน่าเชื่อถือในการรีวิวสินค้าต่างๆ อินฟลูบางคนรีวิวสินค้าทั้งที่สินค้าบางตัวยังไม่เคยใช้
2026/04/21 14:37:44,0,1,1,3,1,1,1,1,3,2,1,2,1,1,4,4,5,5,5,4,5,5,5,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,ไม่มี
2026/04/21 14:39:48,1,1,1,2,2,2,2,3,3,2,1,2,1,1,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,-
2026/04/21 14:42:03,0,0,1,3,1,1,1,1,3,1,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,beautiful
2026/04/21 14:45:34,1,1,1,2,1,1,1,2,2,2,1,2,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,เริ่ด
2026/04/21 15:34:03,0,1,0,2,3,2,2,3,3,3,1,3,1,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,4,4,3,3,3,3,4,4,4,4,4,โฆษณาที่หลากหลาย
2026/04/21 16:48:02,1,1,1,2,1,1,1,2,2,2,1,2,1,2,3,3,3,3,3,4,5,5,5,4,3,5,4,4,4,3,3,4,5,5,5,5,2,2,4,3,5,5,5,4,5,-
2026/04/21 17:54:36,0,1,1,2,1,1,1,1,1,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ไม่มี
2026/04/21 18:03:19,0,1,1,2,1,1,1,1,2,4,2,2,1,1,3,4,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,เลือกซื้อแบบบที่มีความ น่าเชื่อถือ
2026/04/21 18:03:59,0,1,1,2,1,1,1,2,3,2,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,3,5,5,5,4,5,4,.
2026/04/21 18:09:35,0,1,1,2,1,1,1,1,3,2,1,1,1,2,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,-
2026/04/23 15:09:41,1,1,1,2,1,1,1,3,3,1,2,1,1,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,-
2026/04/23 23:04:20,1,1,1,1,2,2,1,3,4,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,อยากให้พระ มีผม
2026/04/23 23:30:19,1,1,1,2,2,2,1,1,2,2,1,2,1,2,4,4,4,4,4,4,5,5,5,4,4,4,4,3,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,ไม่มี
2026/04/25 14:51:44,1,1,1,2,2,2,1,2,2,1,1,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-
2026/04/25 14:58:06,0,1,0,1,1,1,1,2,1,4,1,2,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,มักจะตัดสินใจซื้อตามอินฟลูเอนเซอร์ที่รีวิวอย่างตรงไปตรงมา ไม่ดูเป็นการโฆษณาหรืออวยเกินจริง
